"Species","parameter","estimate"
"coyote","AUTX","-0.60 (-1.83 - 0.66)"
"coyote","CHIL","-0.53 (-1.78 - 0.64)"
"coyote","DECO","-0.28 (-1.32 - 0.88)"
"coyote","FOCO","-0.79 (-1.83 - 0.25)"
"coyote","ICIA","-0.63 (-1.81 - 0.56)"
"coyote","ININ","-0.63 (-1.61 - 0.30)"
"coyote","LBCA","-0.88 (-1.71 - -0.07)"
"coyote","MAKS","-0.11 (-1.15 - 1.07)"
"coyote","MAWI","-0.89 (-2.11 - 0.27)"
"coyote","WIDE","-1.89 (-4.07 - 0.11)"
"coyote","within_urb","-1.01 (-1.54 - -0.49)"
"coyote","between_prophab","-0.02 (-0.79 - 0.70)"
"coyote","between_hden","0.08 (-0.63 - 0.80)"
"coyote","prophab_onurb","-0.18 (-0.79 - 0.41)"
"coyote","hden_onurb","0.28 (-0.27 - 0.83)"
"coyote","Bmu","-0.69 (-1.38 - -0.04)"
"foxsquirrel","AUTX","-0.13 (-2.10 - 1.79)"
"foxsquirrel","CHIL","-0.15 (-2.23 - 2.06)"
"foxsquirrel","DECO","1.37 (0.06 - 2.77)"
"foxsquirrel","FOCO","1.03 (-0.16 - 2.27)"
"foxsquirrel","ICIA","-0.65 (-2.54 - 1.09)"
"foxsquirrel","ININ","1.05 (-0.31 - 2.43)"
"foxsquirrel","LBCA","-1.07 (-2.37 - 0.30)"
"foxsquirrel","MAKS","-1.25 (-3.26 - 0.60)"
"foxsquirrel","MAWI","-2.92 (-6.20 - -0.10)"
"foxsquirrel","WIDE","-0.24 (-4.05 - 3.40)"
"foxsquirrel","within_urb","1.35 (0.80 - 1.91)"
"foxsquirrel","between_prophab","0.40 (-0.80 - 1.62)"
"foxsquirrel","between_hden","-0.01 (-1.20 - 1.16)"
"foxsquirrel","prophab_onurb","0.75 (0.12 - 1.39)"
"foxsquirrel","hden_onurb","-0.21 (-0.77 - 0.34)"
"foxsquirrel","Bmu","-0.25 (-1.38 - 0.85)"
"graysquirrel","AUTX","-0.04 (-3.52 - 3.40)"
"graysquirrel","CHIL","0.42 (-2.04 - 2.90)"
"graysquirrel","DECO","-0.04 (-3.50 - 3.42)"
"graysquirrel","FOCO","-0.05 (-3.53 - 3.42)"
"graysquirrel","ICIA","0.96 (-1.27 - 3.09)"
"graysquirrel","ININ","-1.50 (-3.45 - 0.23)"
"graysquirrel","LBCA","-1.45 (-2.59 - -0.43)"
"graysquirrel","MAKS","-0.04 (-3.49 - 3.42)"
"graysquirrel","MAWI","0.04 (-1.72 - 1.77)"
"graysquirrel","WIDE","1.15 (-0.20 - 2.66)"
"graysquirrel","within_urb","0.91 (0.06 - 1.89)"
"graysquirrel","between_prophab","0.55 (-1.10 - 2.16)"
"graysquirrel","between_hden","0.54 (-0.88 - 1.86)"
"graysquirrel","prophab_onurb","1.07 (0.02 - 2.24)"
"graysquirrel","hden_onurb","0.42 (-0.24 - 1.11)"
"graysquirrel","Bmu","-0.05 (-1.41 - 1.28)"
"opossum","AUTX","-0.59 (-2.44 - 1.12)"
"opossum","CHIL","0.20 (-1.75 - 2.13)"
"opossum","DECO","-0.26 (-3.62 - 2.90)"
"opossum","FOCO","-0.27 (-3.55 - 2.97)"
"opossum","ICIA","-0.45 (-2.14 - 1.29)"
"opossum","ININ","0.58 (-0.66 - 1.88)"
"opossum","LBCA","-2.81 (-5.43 - -0.99)"
"opossum","MAKS","0.63 (-1.08 - 2.31)"
"opossum","MAWI","-0.28 (-1.64 - 1.05)"
"opossum","WIDE","0.26 (-0.74 - 1.32)"
"opossum","within_urb","-0.20 (-0.65 - 0.25)"
"opossum","between_prophab","-0.15 (-1.17 - 0.96)"
"opossum","between_hden","-0.16 (-1.26 - 1.03)"
"opossum","prophab_onurb","0.13 (-0.41 - 0.67)"
"opossum","hden_onurb","-0.10 (-0.61 - 0.41)"
"opossum","Bmu","-0.27 (-1.34 - 0.74)"
"rabbit","AUTX","-0.99 (-2.16 - 0.07)"
"rabbit","CHIL","-0.66 (-1.67 - 0.34)"
"rabbit","DECO","-0.42 (-1.18 - 0.36)"
"rabbit","FOCO","-0.31 (-1.05 - 0.44)"
"rabbit","ICIA","-0.98 (-1.96 - 0.00)"
"rabbit","ININ","-0.40 (-1.19 - 0.39)"
"rabbit","LBCA","-0.52 (-2.11 - 1.05)"
"rabbit","MAKS","-0.38 (-1.28 - 0.55)"
"rabbit","MAWI","-0.28 (-1.14 - 0.60)"
"rabbit","WIDE","-0.36 (-1.27 - 0.56)"
"rabbit","within_urb","0.08 (-0.35 - 0.51)"
"rabbit","between_prophab","-0.38 (-1.01 - 0.23)"
"rabbit","between_hden","-0.16 (-0.76 - 0.44)"
"rabbit","prophab_onurb","-0.30 (-0.79 - 0.19)"
"rabbit","hden_onurb","-0.22 (-0.67 - 0.22)"
"rabbit","Bmu","-0.52 (-1.05 - 0.03)"
"raccoon","AUTX","1.08 (-0.12 - 2.28)"
"raccoon","CHIL","1.58 (0.43 - 2.77)"
"raccoon","DECO","0.78 (-0.10 - 1.65)"
"raccoon","FOCO","0.42 (-0.47 - 1.29)"
"raccoon","ICIA","1.33 (0.15 - 2.60)"
"raccoon","ININ","1.72 (0.68 - 2.86)"
"raccoon","LBCA","1.21 (0.35 - 2.09)"
"raccoon","MAKS","1.02 (-0.04 - 2.10)"
"raccoon","MAWI","0.29 (-0.68 - 1.23)"
"raccoon","WIDE","1.79 (0.86 - 2.78)"
"raccoon","within_urb","0.30 (-0.23 - 0.84)"
"raccoon","between_prophab","-0.44 (-1.14 - 0.29)"
"raccoon","between_hden","-0.84 (-1.56 - -0.12)"
"raccoon","prophab_onurb","-0.30 (-0.87 - 0.25)"
"raccoon","hden_onurb","-0.76 (-1.40 - -0.15)"
"raccoon","Bmu","1.09 (0.50 - 1.71)"
"redfox","AUTX","-3.13 (-7.61 - 1.56)"
"redfox","CHIL","-2.50 (-6.28 - 1.57)"
"redfox","DECO","-0.29 (-2.81 - 3.00)"
"redfox","FOCO","-0.91 (-3.33 - 2.10)"
"redfox","ICIA","-1.51 (-4.14 - 1.22)"
"redfox","ININ","-1.85 (-3.82 - 0.05)"
"redfox","LBCA","-3.24 (-7.43 - 1.17)"
"redfox","MAKS","-2.38 (-5.06 - 0.46)"
"redfox","MAWI","-1.60 (-4.30 - 1.04)"
"redfox","WIDE","1.36 (-0.19 - 3.18)"
"redfox","within_urb","-0.10 (-1.34 - 0.88)"
"redfox","between_prophab","0.36 (-1.36 - 1.89)"
"redfox","between_hden","-0.05 (-1.82 - 1.98)"
"redfox","prophab_onurb","0.60 (-0.28 - 1.55)"
"redfox","hden_onurb","-0.56 (-1.86 - 0.50)"
"redfox","Bmu","-1.35 (-2.99 - 0.45)"
"skunk","AUTX","-2.11 (-3.90 - -0.30)"
"skunk","CHIL","-1.55 (-2.82 - -0.30)"
"skunk","DECO","-2.53 (-3.73 - -1.38)"
"skunk","FOCO","-1.57 (-2.60 - -0.53)"
"skunk","ICIA","-2.24 (-3.94 - -0.59)"
"skunk","ININ","-2.69 (-4.62 - -0.99)"
"skunk","LBCA","-1.59 (-2.67 - -0.50)"
"skunk","MAKS","-2.09 (-3.29 - -0.93)"
"skunk","MAWI","-2.23 (-3.54 - -1.06)"
"skunk","WIDE","-2.00 (-3.34 - -0.59)"
"skunk","within_urb","-0.49 (-1.23 - 0.20)"
"skunk","between_prophab","0.54 (-0.44 - 1.54)"
"skunk","between_hden","0.52 (-0.40 - 1.46)"
"skunk","prophab_onurb","-0.20 (-1.24 - 0.77)"
"skunk","hden_onurb","-0.12 (-1.08 - 0.85)"
"skunk","Bmu","-2.01 (-2.78 - -1.25)"
