"Species","psi_sd","rho_sd"
"coyote","0.80 (0.38 - 1.51)","0.81 (0.44 - 1.43)"
"foxsquirrel","1.55 (0.73 - 2.81)","0.98 (0.53 - 1.76)"
"graysquirrel","1.36 (0.65 - 2.59)","0.70 (0.38 - 1.22)"
"opossum","1.31 (0.59 - 2.52)","0.67 (0.37 - 1.21)"
"rabbit","0.66 (0.37 - 1.14)","0.81 (0.47 - 1.32)"
"raccoon","0.80 (0.43 - 1.36)","0.71 (0.45 - 1.10)"
"redfox","1.80 (0.66 - 3.55)","1.67 (0.69 - 3.30)"
"skunk","0.81 (0.40 - 1.49)","1.21 (0.60 - 2.14)"
