species,global,housing_density,habitat,null,best
raccoon,4400.48344354975,4399.25866940473,4401.0921948323,4400.8661314088,housing_density
coyote,1211.06097497534,1209.59174179275,1210.45606674339,1215.47665718534,housing_density
rabbit,1962.63985636528,1962.39535053077,1961.37924639331,1961.92517973267,habitat
opossum,2205.11083299328,2204.39134702142,2204.95396408801,2205.79892041444,housing_density
skunk,915.157558788997,913.633148255881,913.880511631436,911.548128308373,null
redfox,547.870257492457,548.471601599059,547.816713792001,549.787014671836,habitat
graysquirrel,2128.28443245399,2131.34013445622,2128.62845079559,2129.16766866458,global
foxsquirrel,1610.90446880691,1612.68568275686,1610.1140511313,1632.00667564922,habitat
