"city","site","raccoon","coyote","rabbit","opossum","skunk","redfox","graysquirrel","foxsquirrel","J","site_code","year"
"chil","383-2-16",3,2,0,0,0,0,0,0,16,"chil-383-2",2016
"chil","384-2-16",2,3,0,0,0,0,0,0,27,"chil-384-2",2016
"chil","386-2-16",12,1,3,6,3,0,5,0,27,"chil-386-2",2016
"chil","389-2-16",3,1,1,2,1,0,1,2,27,"chil-389-2",2016
"chil","390-2-16",7,0,0,20,0,0,2,1,27,"chil-390-2",2016
"chil","393-2-16",3,0,0,6,0,0,0,0,29,"chil-393-2",2016
"chil","394-2-16",1,3,0,1,0,0,1,0,28,"chil-394-2",2016
"chil","395-2-16",6,0,0,1,0,0,2,1,28,"chil-395-2",2016
"chil","396-2-16",19,1,0,5,0,0,6,1,27,"chil-396-2",2016
"chil","397-2-16",1,1,0,0,0,0,0,0,27,"chil-397-2",2016
"chil","398-2-16",14,2,0,0,1,0,14,0,27,"chil-398-2",2016
"chil","399-2-16",0,0,2,2,10,0,15,5,28,"chil-399-2",2016
"chil","400-2-16",0,0,0,0,0,0,0,0,30,"chil-400-2",2016
"chil","401-2-16",0,0,0,0,0,0,0,0,29,"chil-401-2",2016
"chil","402-2-16",6,1,0,0,0,0,6,0,29,"chil-402-2",2016
"chil","404-2-16",1,0,0,0,0,0,0,0,29,"chil-404-2",2016
"chil","405-2-16",3,0,2,9,3,0,9,0,29,"chil-405-2",2016
"chil","406-2-16",15,0,5,8,16,0,20,3,27,"chil-406-2",2016
"chil","407-2-16",2,0,0,0,3,0,1,0,22,"chil-407-2",2016
"chil","408-2-16",21,0,19,10,8,0,9,0,29,"chil-408-2",2016
"chil","409-2-16",10,1,2,10,20,0,11,3,27,"chil-409-2",2016
"chil","410-2-16",2,0,0,0,0,0,0,0,29,"chil-410-2",2016
"chil","411-2-16",0,0,0,0,0,0,0,0,15,"chil-411-2",2016
"chil","413-2-16",3,0,4,12,20,0,8,6,29,"chil-413-2",2016
"chil","414-2-16",8,1,1,0,0,0,5,2,30,"chil-414-2",2016
"chil","417-2-16",2,0,0,1,0,0,4,4,29,"chil-417-2",2016
"chil","418-2-16",0,0,0,0,0,0,9,0,29,"chil-418-2",2016
"chil","419-2-16",10,0,0,0,0,0,0,0,25,"chil-419-2",2016
"chil","422-2-16",1,1,0,0,0,0,1,0,27,"chil-422-2",2016
"chil","423-2-16",10,0,8,3,2,0,22,7,27,"chil-423-2",2016
"chil","426-2-16",9,1,5,0,0,0,0,0,28,"chil-426-2",2016
"chil","427-2-16",0,0,0,0,0,0,2,1,29,"chil-427-2",2016
"chil","428-2-16",5,0,0,0,1,0,0,0,16,"chil-428-2",2016
"chil","429-2-16",0,0,3,1,0,0,8,2,29,"chil-429-2",2016
"chil","435-2-16",19,2,4,12,0,0,7,1,29,"chil-435-2",2016
"chil","436-2-16",3,2,0,1,1,0,1,0,29,"chil-436-2",2016
"chil","437-2-16",6,8,0,0,0,0,0,0,29,"chil-437-2",2016
